별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같이,tfidf_계속,tfidf_공간,tfidf_공간이,tfidf_공포,tfidf_공포영화,tfidf_그냥,tfidf_기분,tfidf_끝나고,tfidf_너무,tfidf_느낌,tfidf_뭔가,tfidf_백룸,tfidf_보고,tfidf_보는,tfidf_봤는데,tfidf_영화,tfidf_영화가,tfidf_영화는,tfidf_영화를,tfidf_오랜만에,tfidf_이거,tfidf_이런,tfidf_있는,tfidf_재밌게,tfidf_정말,tfidf_주는,tfidf_진짜,tfidf_추천,tfidf_하는
6,2026-07-22 16:58:00,"뭔 얘기를 하고 싶은 건지,,,",뭔 얘기를 하고 싶은 건지,Wednesday,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-21 04:30:00,재미있게 봤습니당..,재미있게 봤습니당,Tuesday,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-20 15:24:00,모든 존재의 매 순간을 담는 것으로 재 해석한 것이 맘에 드네요,모든 존재의 매 순간을 담는 것으로 재 해석한 것이 맘에 드네요,Monday,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-20 11:25:00,단순히 공포에만 치중한 평면적인 영화가 아니라 백룸 세계관에 부여한 추가적인 설정이나 서사가 있어 완성도 높은 영화라고 생각합니다,단순히 공포에만 치중한 평면적인 영화가 아니라 백룸 세계관에 부여한 추가적인 설정이나 서사가 있어 완성도 높은 영화라고 생각합니다,Monday,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6442536122240217,0.0,0.0,0.0,0.0,0.764811926643603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-20 09:14:00,인간내면을 표현한 추상화를 보는듯한,인간내면을 표현한 추상화를 보는듯한,Monday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-15 23:36:00,난 진짜 재밌게봄!! 또보고싶다!!,난 진짜 재밌게봄 또보고싶다,Wednesday,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,2026-07-15 11:38:00,게임 원작 최대한 살렸네요.,게임 원작 최대한 살렸네요,Wednesday,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-13 11:26:00,백룸의 완전 기본적인 개념만 알고 세계관이나 이런 건 하나도 모르는 채로 관람했는데 괜찮았습니다. 기존에 백룸 모르던 사람도 잘 볼 수 있을 정도로 설정을 짠 것 같고 그 설정도 맘에 들었습니다,백룸의 완전 기본적인 개념만 알고 세계관이나 이런 건 하나도 모르는 채로 관람했는데 괜찮았습니다 기존에 백룸 모르던 사람도 잘 볼 수 있을 정도로 설정을 짠 것 같고 그 설정도 맘에 들었습니다,Monday,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6390851064674145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7691360261303156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-07-13 02:12:00,공포 분량이 짧은것도 문젠데 서사도 너무 조잡하고 흥미롭지가 않다,공포 분량이 짧은것도 문젠데 서사도 너무 조잡하고 흥미롭지가 않다,Monday,36,0.0,0.0,0.0,0.0,0.7742395756768773,0.0,0.0,0.0,0.0,0.6328926286943853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-10 19:37:00,"샤이닝의 레퍼런스 하에 생산된, 또 한편의 걸출한 유산. PS. 시각의 초점을 일부로 혼란하는 미장센의 연출, 볼 땐 짜증났지만 결론적으론 훌륭했다.",샤이닝의 레퍼런스 하에 생산된 또 한편의 걸출한 유산 ps 시각의 초점을 일부로 혼란하는 미장센의 연출 볼 땐 짜증났지만 결론적으론 훌륭했다,Friday,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
